Name	Set	ImageFile	Color	Cost	Type	Class	Subclass	Power	Level	Limit	Restriction	Timing	Guard	Text	Eff1	Eff2	Eff3	Burst	Flavor	Rarity	Sound
Crossbow Sephiram	WX01_ServedSelector_1	WX01-057	White		SIGNI	Spirit Military Arts	Arms	5000	2		Tama				[On Play] - : Look at the top card of your deck. If that is a level 2 or lower SIGNI and you have no other SIGNI in play, you may place it in play.			Draw 1 card.	Illust 村上ヒサシ (I hurried because I was called, but now I'm not needed? ~Crossbow Sephiram~)	-	signi_bow
Discussion of Redoing Mikael	WX01_ServedSelector_1	WX01-058	White		SIGNI	Spirit Figure	Angel	3000	2						[Activate] - Discard one card, Down: Search your deck for one White level 3 or lower SIGNI, show it and add it to your hand. Then shuffle your deck.				Illust 安達洋介 (Mikael continued to raise companions for the next LRIG.)	-	signi_angel
Crossbow Bow	WX01_ServedSelector_1	WX01-059	White		SIGNI	Spirit Military Arts	Arms	2000	1		Tama				[On Play]: Look at the first card on top of your deck. If that is a level 1 SIGNI, and you have no other SIGNI in play, you may play it.			Draw 1 card.	Illust 松本エイト (Thin needles punctuate better, and they hurt more!)	-	signi_bow
Small Shield Round	WX01_ServedSelector_1	WX01-060	White		SIGNI	Spirit Military Arts	Arms	2000	1						[Continuous]: This SIGNI's power becomes 5000 during the opponent's turn.				Illust パトリシア (Okay! BARRIER! It's a barrier, so stop already! ~Round~)	-	signi_shield
Idea of Pursuit Haniel	WX01_ServedSelector_1	WX01-061	White		SIGNI	Spirit Figure	Angel	1000	1						[On Play] Discard 1 card, Down: Search your deck for a level 2 or less White SIGNI, reveal it, and add it to your hand. Then shuffle your deck.				Illust bomi (Haniel was an important angel to Mikael.)	-	signi_angel
Get Open	WX01_ServedSelector_1	WX01-062	White	1W	Spell									Look at the first 5 cards on top of your deck. Trash as many of these as you like and return the remaining cards, in any order you like, to the top of your deck.					Illust 由利 真珠郎 (How to use this sword is up to you.)	-	spell
Get Ready	WX01_ServedSelector_1	WX01-063	White	1W	Spell									Up all of your SIGNI.				Search your deck for one SIGNI, reveal and add it to your hand. Then shuffle your deck.	Illust 由利 真珠郎 (It's not that difficult, just a bit immoral.)	-	spell
Silk Stone Metallica	WX01_ServedSelector_1	WX01-064	Red		SIGNI	Spirit Silk	Mineral	15000	4										Illust しおぼい (Even if other flames became cinders, for Metallica they were just the foundation for shining.)	-	signi_mineral
Silk Stone Emeralda	WX01_ServedSelector_1	WX01-065	Red		SIGNI	Spirit Silk	Jewel	12000	4						[Continuous] - : During your turn, this SIGNI's power is 18000.				Illust かわすみ (My, my, what a wonderful child! I'll make a fitting girl for you. - Emeralda)	-	signi_jewel
Silk Stone Rubyl	WX01_ServedSelector_1	WX01-066	Red		SIGNI	Spirit Silk	Jewel	8000	3						[Continuous] - : During your turn, this SIGNI's power is 12000.				Illust コト (Sparkle, sparkle. Am I fascinating? ~Rubyl~)	-	signi_jewel
Silk Stone Rin	WX01_ServedSelector_1	WX01-067	Red		SIGNI	Spirit Silk	Mineral	10000	2		Hanayo				[On Play] - : Discard 1 card from your hand.			Draw 1 card.	Illust mado*pen (Damn, it caught fire! Oh, it's hot! ~Hanayo~)	-	signi_mineral
Silk Stone Kohaku	WX01_ServedSelector_1	WX01-068	Red		SIGNI	Spirit Silk	Mineral	5000	2						[Continuous] - : During your turn, this SIGNI's power is 8000.				Illust 由利 真珠郎 (Here, one transparent pupil! ~Amber~) (?)	-	signi_mineral
Explosive Gun Ran-chan	WX01_ServedSelector_1	WX01-069	Red		SIGNI	Spirit Military Arts	Weapon	3000	2						[Activate]: Discard one card, Down: Banish one opposing SIGNI of 5000 or less power				Illust I☆LA (BOOM!)	-	signi_cannon
Silk Stone Mercury	WX01_ServedSelector_1	WX01-070	Red		SIGNI	Spirit Silk	Mineral	7000	1		Hanayo				[On Play] - : Discard 1 card from your hand.			Draw 1 card.	Illust 由利 真珠郎 (It may look cold, but it's actually hot!)	-	signi_mineral
Silk Stone Sapphi	WX01_ServedSelector_1	WX01-071	Red		SIGNI	Spirit Silk	Jewel	2000	1						[Continuous]: During your turn, this SIGNI's power is 5000.				Illust かにかま (It's hard, hard! Is a piece of it here? ~Sapphi~) (?)	-	signi_jewel
Small Cannon Dragunov	WX01_ServedSelector_1	WX01-072	Red		SIGNI	Spirit Military Arts	Weapon	1000	1						[On Play] Discard 1 card from your hand, Down: Banish one of your opponent's SIGNI with power 2000 or less.				Illust みさ (Tzing!)	-	signi_cannon
Shooting Star Fireball	WX01_ServedSelector_1	WX01-073	Red	3R	Spell									Banish one of your opponent's SIGNI with power 15000 or less.				Banish one opposing SIGNI of 10000 or lower power.	Illust ヒロヲノリ (The stars fall and fall, like meteors.)	-	spell
Prism Pillar of Fire	WX01_ServedSelector_1	WX01-074	Red	1W 1R	Spell									Banish one of your opponent's SIGNI with power 10000 or less.					Illust okera (Occasionally, a pillar of fire made of these colors can arise.)	-	spell
Code Art ASM	WX01_ServedSelector_1	WX01-075	Blue		SIGNI	Spirit Machine	Electrical Machine	15000	4										Illust 水玉子 (Even if I'm robotic, my passionate heart won't lose to anyone! ~ASM~)	-	signi_elec
Code Art IDOL	WX01_ServedSelector_1	WX01-076	Blue		SIGNI	Spirit Machine	Electrical Machine	12000	4						[Continuous] - : As long as you have at least 3 more cards in your hand than your opponent, this SIGNI's power is 18000				Illust arihato (You wouldn't come to me, so I came to you! ~IDOL~)	-	signi_elec
Code Art ADB	WX01_ServedSelector_1	WX01-077	Blue		SIGNI	Spirit Machine	Electrical Machine	8000	3						[Continuous] - : As long as you have at least 2 more cards in your hand than your opponent, this SIGNI's power is 12000.				Illust 芥川　明 (With one swing of her pen, nothing but artworks can be seen in the once empty air.)	-	signi_elec
Code Art STG	WX01_ServedSelector_1	WX01-078	Blue		SIGNI	Spirit Machine	Electrical Machine	5000	2						[Continuous] - : As long as you have at least 2 more cards in your hand than your opponent, this SIGNI's power is 8000.				Illust ベーコン (All Clear! ~STG~)	-	signi_elec
Code Art WTC	WX01_ServedSelector_1	WX01-079	Blue		SIGNI	Spirit Machine	Electrical Machine	5000	2		Piruluk				[On Play] - : Freeze one of your opponent's level 2 or less SIGNI. (It will not Up during the next Up phase)			Draw 1 card.	Illust 篠 (Control, complete! ~WTC~)	-	signi_elec
Phantom Flood Shako-tan	WX01_ServedSelector_1	WX01-080	Blue		SIGNI	Spirit Life	Water Beast	3000	2						[Activate] - Discard 1 card from your hand, Down: Draw 2 cards. Then, discard 1 card from your hand.				Illust イチゼン (I'm useful, right? ~Shako-tan~)	-	signi_p_water
Code Art TV	WX01_ServedSelector_1	WX01-081	Blue		SIGNI	Spirit Machine	Electrical Machine	2000	1		Piruluk				[On Play] - : Freeze 1 of your opponent's level 1 SIGNI. (It will not Up during the next Up phase)			Draw 1 card.	Illust toshi Punk (S-A-N-D-S-T-O-R-M! ~TV~)	-	signi_elec
Code Art FAN	WX01_ServedSelector_1	WX01-082	Blue		SIGNI	Spirit Machine	Electrical Machine	2000	1						[Continuous] - : As long as you have more cards in your hand than your opponent, this SIGNI's power is 5000.				Illust CH@R (I blew away all sorts of things! ~FAN~)	-	signi_elec
Phantom Flood Kumanomin	WX01_ServedSelector_1	WX01-083	Blue		SIGNI	Spirit Life	Water Beast	1000	1						[On Play] Discard 1 card from your hand, Down: Draw 1 card.				Illust bomi (I want to grow big! ~Kumanomin~)	-	signi_p_water
THREE OUT	WX01_ServedSelector_1	WX01-084	Blue	1B	Spell									Draw 3 cards. Then, discard 1 card from your hand.					Illust okera (Clank clank clank, pop!)	-	spell
FREEZE	WX01_ServedSelector_1	WX01-085	Blue	1B	Spell									Down and freeze all of the opponent's SIGNI. (They will not Up during the next Up Phase.)				Down and freeze up to two of the opponent's SIGNI. (They will not Up during the next Up Phase.)	Illust 由利 真珠郎 (Clink!)	-	spell
Phantom Beast Eagle	WX01_ServedSelector_1	WX01-086	Green		SIGNI	Spirit Life	Sky Beast	15000	4										Illust 出水ぽすか (She controls the sky like a sea eagle.)	-	signi_bird
Phantom Beast Cait Sith	WX01_ServedSelector_1	WX01-087	Green		SIGNI	Spirit Life	Earth Beast	12000	4						[Continuous] - : As long as you have at least 5 more cards in your Ener Zone than your opponent, this SIGNI's power is 18000.				Illust コウサク (I'm so strong, it's mysterious, right? ~Cait Sith~)	-	signi_p_earth
Phantom Beast Owl	WX01_ServedSelector_1	WX01-088	Green		SIGNI	Spirit Life	Sky Beast	10000	3										Illust ヤマグチトモ (The owl's eyes, observing from the sky.)	-	signi_bird
Phantom Beast Kuro	WX01_ServedSelector_1	WX01-089	Green		SIGNI	Spirit Life	Earth Beast	8000	3						[Continuous] - : As long as you have at least 4 more cards in your Ener Zone than your opponent, this SIGNI's power is 12000.				Illust pepo (I want to help you! Nya. ~Kuro~)	-	signi_p_earth
Phantom Beast Sparrow	WX01_ServedSelector_1	WX01-090	Green		SIGNI	Spirit Life	Sky Beast	7000	2										Illust エイチ (The sparrows' smile, absolutely cute.)	-	signi_bird
Phantom Beast Koalan	WX01_ServedSelector_1	WX01-091	Green		SIGNI	Spirit Life	Earth Beast	5000	2		Midoriko				[On Play] - : One of your SIGNI gains 3000 power until the end of the turn.			Draw 1 card.	Illust 中村橋 (I want to go back to the forest already... ~Koalan~)	-	signi_p_earth
Phantom Beast Shiro	WX01_ServedSelector_1	WX01-092	Green		SIGNI	Spirit Life	Earth Beast	5000	2						[Continuous] - : As long as you have at least 3 more cards in your Ener Zone than your opponent, this SIGNI's power is 8000.				Illust エムド (Shiro, Kuro, Mi-Ke, We are the three sisters! Nyaa~ ~Shiro~)	-	signi_p_earth
Silk Plant Dandelion	WX01_ServedSelector_1	WX01-093	Green		SIGNI	Spirit Silk	Vegetation	3000	2						[Activate] Discard 1 card from your hand, Down: Put the top card of your deck into the Ener Zone.				Illust わた・るぅー (May the big flowers bloom. ~Dandelion~)	-	signi_plant
Phantom Beast Swallow	WX01_ServedSelector_1	WX01-094	Green		SIGNI	Spirit Life	Sky Beast	3000	1										Illust 単ル (The swallow's wings, cutting the empty skies apart.)	-	signi_bird
Phantom Beast Pandan	WX01_ServedSelector_1	WX01-095	Green		SIGNI	Spirit Life	Earth Beast	2000	1		Midoriko				[On Play] - : One of your SIGNI gains 2000 power until the end of the turn.			Draw 1 card.	Illust ますん (Panpakapaanda! ~Pandan~)	-	signi_p_earth
Phantom Beast Mi-Ke	WX01_ServedSelector_1	WX01-096	Green		SIGNI	Spirit Life	Earth Beast	2000	1						[Continuous] - : As long as you have at least 2 more cards in your Ener Zone than your opponent, this SIGNI's power is 5000.				Illust よこえ (I'm, cat. Play, nya. ~Mike~)	-	signi_p_earth
Silk Plant Salvia	WX01_ServedSelector_1	WX01-097	Green		SIGNI	Spirit Silk	Vegetation	1000	1						[Activate] - Discard one card, Down: Place the first card on top of your deck in the EnerZone.				Illust 北熊 (Eating wayside grass still doesn't mean you can eat me! ~Salvia~)	-	signi_plant
Living Sprout	WX01_ServedSelector_1	WX01-098	Green	1G	Spell									Put the top 2 cards of your deck into the EnerZone.					Illust arihato (The power of wishes came to be called "Ener" before anyone noticed, named after the first girl.)	-	spell
Reverse Summoning	WX01_ServedSelector_1	WX01-099	Green	1G	Spell									Put 1 SIGNI from your Ener Zone into play.				Add 1 card from your Ener Zone to your hand	Illust okera (The SIGNI are the personification of the masses the LRIG come into contact with.)	-	spell
Servant T	WX01_ServedSelector_1	WX01-100	Colorless		SIGNI	Spirit Source		8000	3				G		[Guard] (Discard this card from your hand to nullify one LRIG attack.)	[MultiEner] When used to pay a cost, this card can be taken as any color.		EnerCharge 1	Illust ナダレ (She surrounds the LRIG like steam.)	-	signi_elem
Servant D	WX01_ServedSelector_1	WX01-101	Colorless		SIGNI	Spirit Source		5000	2				G		[Guard] (Discard this card from your hand to nullify one LRIG attack.)	[MultiEner] When used to pay a cost, this card can be taken as any color.		EnerCharge 1	Illust hitoto* (She surrounds the LRIG like light.)	-	signi_elem
Servant O	WX01_ServedSelector_1	WX01-102	Colorless		SIGNI	Spirit Source		2000	1				G		[Guard] (Discard this card from your hand to nullify one LRIG attack.)	[MultiEner] When used to pay a cost, this card can be taken as any color.		EnerCharge 1	Illust hitoto* (She surrounds the LRIG like light.)	-	signi_elem
Surging Knowledge	WX01_ServedSelector_1	WX01-103	Colorless	0C	Spell									Draw 1 card.				EnerCharge 1	Illust okera (LRIG release their own power using Ener. That is called an Arts.)	-	spell
Blind Rush [Big Web]	WXD04_Green_Wana	WD04-008.png,LRIGback	Green	3G	Arts							[Main Phase] [Attack Phase]		Banish one of your opponent's SIGNI with 12000 power or above					Illust (Even the mighty can fall! ~Midoriko~)	-	arts
Phantom Beast Misuzaku	WXD04_Green_Wana	WD04-010.png	Green		SIGNI	Spirit Life	Earth Beast	8000	3		Midoriko				[Continuous] - : If the power of this SIGNI is 10000 or more, it gains [Lancer]. (Should this SIGNI banish an opposing SIGNI, it also crashes one Life Cloth of the opponent.)			Banish one opposing SIGNI of 12000 or more power.		-	signi_p_earth
Code Piruluk	Promo	PR-003,LRIGback	Blue	0B	LRIG	Piruluk			0										Illust POP (...... ~ Piruluk ~)	-	lrig
Touki Midoriko	Promo	PR-004,LRIGback	Green	0G	LRIG	Midoriko			0										Illust POP (I am your LRIG. ~Midoriko~)	-	lrig
Code Piruluk	Promo	PR-011,LRIGback	Blue	0B	LRIG	Piruluk			0										Illust hitoto* (...Open ~ Piruluk ~)	-	lrig
Code Piruluk	Promo	PR-015,LRIGback	Blue	0B	LRIG	Piruluk			0										Illust CHANxCO (… Open ~Piruluk~)	-	lrig
Medium Spear Hastal	Promo	PR-017	White		SIGNI	Spirit Military Arts	Arms	5000	2		Tama				[Continuous] - : As long as you have a Level 4 "Tama" in play, this SIGNI's power becomes 10000.				Illust F.S ( )	-	signi_sword
Silk Stone Mithril	Promo	PR-018	Red		SIGNI	Spirit Silk	Jewel	15000	3		Hanayo				[On-Play]: Discard 1 card from your hand.	[Continuous]: During your turn, this SIGNI's power is 18000.			Illust	-	signi_jewel
TREASURE	Promo	PR-019	Blue	1B	Spell						Piruluk			Discard any number of cards from your hands. Draw that amount of cards+1				Discard 2 cards, then Draw 3 cards.	Illust	-	spell
増援	Promo	PR-020	Green	1G	Spell						Midoriko			Choose from these 2 effects 1 to resolve: 1) Search your deck for a SIGNI of 10000 power and above and put it in your hand. Shuffle your deck afterward; 2) Place 2 cards from the top of your deck to the EnerZone					Illust	-	spell
Dominating Fury	Promo	PR-021,LRIGback	Red	3R	Arts							[Main Phase] [Attack Phase]		Banish one opponent's SIGNI of 10000 power or below					Illust	-	arts
Xeno Multiple	Promo	PR-040,LRIGback	White	2W 2B	Arts							[Main Phase] [Attack Phase]		Choose from these 4 up to 2 effects to resolve: 1) Your opponent's LRIG cannot attack this turn; 2) Freeze 2 opponent SIGNI; 3) Return 1 opponent SIGNI to their hand; 4) Draw 2 cards					Illust	-	arts
